birthday,zodiac sign,element,age range,sex,personality traits,occupation
November 13,Scorpio,water,20-29,Woman,"curious, imaginative, spontaneous, spiritual","STEM-related field (computer science, engineer, doctor, researcher, etc.), Creative (graphics person, visual artist, musician, etc.)"
October 29,Scorpio,water,30-39,Woman,"ambitious, creative, proactive, innovative","STEM-related field (computer science, engineer, doctor, researcher, etc.)"
May 29,Gemini,air,20-29,Man,"curious, passionate, intuitive, innovative","STEM-related field (computer science, engineer, doctor, researcher, etc.)"
September 1,Virgo,earth,20-29,Woman,"ambitious, curious, loyal, reserved","STEM-related field (computer science, engineer, doctor, researcher, etc.)"
May 12,Taurus,earth,20-29,Man,"curious, loyal, practical, patient","Student, STEM-related field (computer science, engineer, doctor, researcher, etc.)"
December 31,Capricorn,earth,20-29,Woman,"ambitious, trustworthy, intuitive, proactive","Creative (graphics person, visual artist, musician, etc.)"
September 29,Libra ,air,20-29,Woman,"ambitious, proactive, patient, sensitive",Student
April 22,Taurus,earth,20-29,Man,"""life of the party"", trustworthy, loyal, intuitive","STEM-related field (computer science, engineer, doctor, researcher, etc.)"
January 26,Aquarius,air,20-29,Woman,"loyal, intuitive, proactive, spiritual","Student, STEM-related field (computer science, engineer, doctor, researcher, etc.)"
September 1,Virgo,earth,50-59,Woman,"trustworthy, creative, proactive, humanitarian",Education 
July 21,Cancer,water,50-59,Man,"ambitious, optimist, proactive, spiritual",Finance
September  10,Virgo,earth,50-59,Woman,"trustworthy, passionate, intuitive, spiritual",Homemaker
December 9,Sagittarius,fire,20-29,Woman,"curious, optimist, intuitive, proactive","STEM-related field (computer science, engineer, doctor, researcher, etc.)"
June 13,Gemini,air,60-69,Man,"trustworthy, loyal, reserved, practical, patient","STEM-related field (computer science, engineer, doctor, researcher, etc.)"
January 11,Capricorn,earth,20-29,Prefer not to say,"reserved, passionate, practical, sensitive","Creative (graphics person, visual artist, musician, etc.)"
October 5,Libra,air,20-29,Woman,"ambitious, trustworthy, loyal, practical","STEM-related field (computer science, engineer, doctor, researcher, etc.)"
July 29,Leo,fire,60-69,Man,"ambitious, curious, trustworthy, reserved","STEM-related field (computer science, engineer, doctor, researcher, etc.)"
December 31,Capricorn,earth,50-59,Woman,"trustworthy, loyal, practical, sensitive",Project planner 
September 16,Virgo,earth,17-19,Woman,"ambitious, trustworthy, loyal, sensitive","Student, Journalist"
November 13,Scorpio,water,20-29,Man,"curious, imaginative, spontaneous, sensitive","STEM-related field (computer science, engineer, doctor, researcher, etc.)"
March 3,Pisces,water,20-29,Man,"ambitious, trustworthy, imaginative, spontaneous","Creative (graphics person, visual artist, musician, etc.), Marketing"
October 23,Scorpio,water,50-59,Man,"ambitious, optimist, passionate, proactive ","STEM-related field (computer science, engineer, doctor, researcher, etc.)"
July 23,Leo,fire,50-59,Woman,"trustworthy, loyal, spontaneous, sensitive",Finance
July 11,Cancer,water,20-29,Woman,"curious, imaginative, loyal, proactive","Student, Journalist"
May 10,Taurus,earth,20-29,Woman,"curious, imaginative, passionate, sensitive",Student
Novermber 9,Scorpio,water,20-29,Woman,"curious, spontaneous, intuitive, humanitarian",Student
October 10,Libra,air,60-69,Man,"imaginative, creative, proactive, innovative",Retired 
August 14,Leo,fire,50-59,Man,"loyal, reserved, practical, humanitarian","STEM-related field (computer science, engineer, doctor, researcher, etc.)"
April 3,Aries,fire,50-59,Woman,"curious, trustworthy, loyal, spiritual",Education
January 16,Capricorn,earth,50-59,Man,"trustworthy, reserved, practical, innovative","STEM-related field (computer science, engineer, doctor, researcher, etc.)"
August 29,Virgo,earth,50-59,Man,"ambitious, reserved, intuitive, proactive","STEM-related field (computer science, engineer, doctor, researcher, etc.)"
August 18,Leo,fire,40-49,Woman,"trustworthy, loyal, proactive, spiritual","STEM-related field (computer science, engineer, doctor, researcher, etc.)"
September 2,Virgo,earth,20-29,Woman,"curious, imaginative, spontaneous, spiritual",Student
June 30,Cancer,water,50-59,Woman,"trustworthy, optimist, patient, sensitive",Homemaker
March 18,Pisces,water,20-29,Woman,"imaginative, creative, spontaneous, sensitive","STEM-related field (computer science, engineer, doctor, researcher, etc.), Creative (graphics person, visual artist, musician, etc.)"
March 19,Pisces,water,17-19,Woman,"optimist, imaginative, intuitive, sensitive","Student, STEM-related field (computer science, engineer, doctor, researcher, etc.)"
March 5,Pisces,water,50-59,Woman,"spontaneous, passionate, intuitive, spiritual",Homemaker
Aug 6,Leo,fire,20-29,Woman,"trustworthy, spontaneous, practical, sensitive","STEM-related field (computer science, engineer, doctor, researcher, etc.)"
June 13,Gemini,air,20-29,Man,"trustworthy, optimist, reserved, patient","Student, STEM-related field (computer science, engineer, doctor, researcher, etc.)"
September 10,Virgo,earth,20-29,Woman,"ambitious, loyal, practical, humanitarian","STEM-related field (computer science, engineer, doctor, researcher, etc.)"
